template,accuracy
Default,0.935
Alice-opinion,0.51
Default,0.925
Alice-opinion,0.5
Default,0.925
Alice-opinion,0.5066666666666667
Default,0.9266666666666666
Alice-opinion,0.505
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.9283333333333333
Alice-opinion,0.5066666666666666
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.875
Alice-opinion,0.5033333333333334
Default,0.9316666666666666
Alice-opinion,0.5066666666666666
Default,0.9216666666666666
Alice-opinion,0.5066666666666666
Default,0.9216666666666666
Alice-opinion,0.5066666666666666
Default,0.9216666666666666
Alice-opinion,0.5033333333333334
Default,0.93
Alice-opinion,0.5116666666666667
Default,0.9266666666666666
Alice-opinion,0.5016666666666667
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.9233333333333333
Alice-opinion,0.5083333333333333
Default,0.9266666666666666
Alice-opinion,0.5083333333333333
Default,0.9283333333333333
Alice-opinion,0.51
Default,0.9316666666666666
Alice-opinion,0.5033333333333333
Default,0.9266666666666666
Alice-opinion,0.505
Default,0.93
Alice-opinion,0.5016666666666667
Default,0.9333333333333333
Alice-opinion,0.505
Default,0.9316666666666666
Alice-opinion,0.51
Default,0.9216666666666666
Alice-opinion,0.5033333333333333
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.935
Alice-opinion,0.5033333333333333
Default,0.9216666666666666
Alice-opinion,0.5066666666666666
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.9316666666666666
Alice-opinion,0.5066666666666667
Default,0.935
Alice-opinion,0.5066666666666667
Default,0.9283333333333333
Alice-opinion,0.5066666666666666
Default,0.9266666666666666
Alice-opinion,0.5016666666666667
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.93
Alice-opinion,0.505
Default,0.9316666666666666
Alice-opinion,0.51
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.9283333333333333
Alice-opinion,0.5066666666666666
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.9283333333333333
Alice-opinion,0.51
Default,0.9316666666666666
Alice-opinion,0.5
Default,0.9266666666666666
Alice-opinion,0.5016666666666667
Default,0.925
Alice-opinion,0.5066666666666667
Default,0.925
Alice-opinion,0.5033333333333333
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.9233333333333333
Alice-opinion,0.5016666666666667
Default,0.9316666666666666
Alice-opinion,0.5066666666666667
Default,0.9216666666666666
Alice-opinion,0.5033333333333334
Default,0.9299999999999999
Alice-opinion,0.505
Default,0.93
Alice-opinion,0.5083333333333333
Default,0.9316666666666666
Alice-opinion,0.51
Default,0.515
Alice-opinion,0.51
Default,0.93
Alice-opinion,0.515
Default,0.5183333333333333
Alice-opinion,0.5133333333333333
Default,0.5216666666666667
Alice-opinion,0.51
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.5333333333333333
Alice-opinion,0.5183333333333333
Default,0.9333333333333333
Alice-opinion,0.5116666666666667
Default,0.9283333333333333
Alice-opinion,0.5133333333333333
Default,0.52
Alice-opinion,0.515
Default,0.9299999999999999
Alice-opinion,0.5116666666666667
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.5166666666666667
Alice-opinion,0.505
Default,0.9333333333333333
Alice-opinion,0.5083333333333333
Default,0.5166666666666667
Alice-opinion,0.5083333333333333
Default,0.5183333333333333
Alice-opinion,0.5166666666666667
Default,0.9283333333333333
Alice-opinion,0.51
Default,0.5233333333333333
Alice-opinion,0.5116666666666667
Default,0.52
Alice-opinion,0.5083333333333333
Default,0.5133333333333333
Alice-opinion,0.5016666666666667
Default,0.5233333333333333
Alice-opinion,0.515
Default,0.9316666666666666
Alice-opinion,0.5033333333333333
Default,0.9266666666666666
Alice-opinion,0.5183333333333333
Default,0.9316666666666666
Alice-opinion,0.5133333333333333
Default,0.5
Alice-opinion,0.9883333333333333
Default,0.9316666666666666
Alice-opinion,0.5133333333333333
Default,0.5216666666666667
Alice-opinion,0.51
Default,0.525
Alice-opinion,0.5166666666666667
Default,0.5233333333333333
Alice-opinion,0.5083333333333333
Default,0.515
Alice-opinion,0.51
Default,0.925
Alice-opinion,0.5133333333333333
Default,0.93
Alice-opinion,0.515
Default,0.5133333333333333
Alice-opinion,0.7283333333333333
Default,0.9283333333333333
Alice-opinion,0.51
Default,0.5216666666666667
Alice-opinion,0.5333333333333333
Default,0.9283333333333333
Alice-opinion,0.5166666666666667
Default,0.525
Alice-opinion,0.5166666666666667
Default,0.9283333333333333
Alice-opinion,0.5133333333333333
Default,0.52
Alice-opinion,0.5183333333333333
Default,0.5233333333333333
Alice-opinion,0.515
Default,0.9366666666666666
Alice-opinion,0.5083333333333333
Default,0.5233333333333333
Alice-opinion,0.515
Default,0.9299999999999999
Alice-opinion,0.5116666666666667
Default,0.5183333333333333
Alice-opinion,0.51
Default,0.9333333333333333
Alice-opinion,0.5016666666666667
Default,0.5016666666666667
Alice-opinion,0.9933333333333333
Default,0.5183333333333333
Alice-opinion,0.5033333333333334
Default,0.9283333333333333
Alice-opinion,0.5133333333333333
Default,0.515
Alice-opinion,0.51
