template,accuracy
Default,0.5616666666666666
Alice-opinion,0.5266666666666666
Default,0.54
Alice-opinion,0.5316666666666667
Default,0.5216666666666666
Alice-opinion,0.5233333333333333
Default,0.5616666666666666
Alice-opinion,0.5266666666666666
Default,0.9033333333333333
Alice-opinion,0.5083333333333333
Default,0.5316666666666667
Alice-opinion,0.5233333333333333
Default,0.5733333333333333
Alice-opinion,0.5183333333333333
Default,0.6016666666666667
Alice-opinion,0.51
Default,0.5633333333333334
Alice-opinion,0.5283333333333333
Default,0.5433333333333333
Alice-opinion,0.525
Default,0.52
Alice-opinion,0.5116666666666667
Default,0.525
Alice-opinion,0.5266666666666666
Default,0.5616666666666666
Alice-opinion,0.53
Default,0.5233333333333333
Alice-opinion,0.5216666666666667
Default,0.5800000000000001
Alice-opinion,0.5283333333333333
Default,0.5349999999999999
Alice-opinion,0.52
Default,0.5549999999999999
Alice-opinion,0.5266666666666666
Default,0.5633333333333334
Alice-opinion,0.5283333333333333
Default,0.87
Alice-opinion,0.505
Default,0.5666666666666667
Alice-opinion,0.525
Default,0.9066666666666666
Alice-opinion,0.5183333333333333
Default,0.565
Alice-opinion,0.53
Default,0.5616666666666666
Alice-opinion,0.5166666666666666
Default,0.555
Alice-opinion,0.53
Default,0.5549999999999999
Alice-opinion,0.5233333333333333
Default,0.535
Alice-opinion,0.5233333333333333
Default,0.9083333333333333
Alice-opinion,0.5133333333333333
Default,0.5416666666666666
Alice-opinion,0.52
Default,0.5266666666666666
Alice-opinion,0.525
Default,0.91
Alice-opinion,0.5116666666666667
Default,0.5116666666666667
Alice-opinion,0.52
Default,0.8783333333333333
Alice-opinion,0.5
Default,0.5016666666666667
Alice-opinion,0.51
Default,0.54
Alice-opinion,0.5216666666666667
Default,0.55
Alice-opinion,0.525
Default,0.5366666666666666
Alice-opinion,0.525
Default,0.5233333333333333
Alice-opinion,0.525
Default,0.56
Alice-opinion,0.525
Default,0.8333333333333334
Alice-opinion,0.5183333333333333
Default,0.91
Alice-opinion,0.5083333333333333
Default,0.5516666666666667
Alice-opinion,0.53
Default,0.53
Alice-opinion,0.5216666666666667
Default,0.9
Alice-opinion,0.5016666666666667
Default,0.525
Alice-opinion,0.52
Default,0.8866666666666667
Alice-opinion,0.515
Default,0.5333333333333333
Alice-opinion,0.525
Default,0.5183333333333333
Alice-opinion,0.5233333333333333
Default,0.5083333333333333
Alice-opinion,0.52
Default,0.5216666666666666
Alice-opinion,0.5266666666666666
Default,0.5216666666666666
Alice-opinion,0.5166666666666667
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5033333333333333
Alice-opinion,0.5183333333333333
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.5
Alice-opinion,0.9883333333333333
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.5
Alice-opinion,0.9883333333333333
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5083333333333333
Alice-opinion,0.5166666666666666
Default,0.5016666666666667
Alice-opinion,0.99
Default,0.5016666666666667
Alice-opinion,0.99
Default,0.5033333333333333
Alice-opinion,0.5183333333333333
Default,0.505
Alice-opinion,0.5166666666666666
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.51
Alice-opinion,0.5183333333333333
Default,0.51
Alice-opinion,0.5083333333333333
Default,0.5016666666666667
Alice-opinion,0.9933333333333333
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.5066666666666667
Alice-opinion,0.525
Default,0.5033333333333333
Alice-opinion,0.5183333333333333
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.505
Alice-opinion,0.5166666666666667
Default,0.505
Alice-opinion,0.5166666666666667
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.505
Alice-opinion,0.9833333333333333
Default,0.5033333333333333
Alice-opinion,0.5183333333333333
Default,0.5016666666666667
Alice-opinion,0.99
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5083333333333333
Alice-opinion,0.5266666666666666
Default,0.51
Alice-opinion,0.5083333333333333
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.505
Alice-opinion,0.9866666666666667
Default,0.5016666666666667
Alice-opinion,0.99
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.5083333333333333
Alice-opinion,0.51
Default,0.5133333333333333
Alice-opinion,0.5183333333333333
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5
Alice-opinion,0.9916666666666667
Default,0.5033333333333334
Alice-opinion,0.5183333333333333
Default,0.505
Alice-opinion,0.5166666666666667
Default,0.505
Alice-opinion,0.5166666666666666
Default,0.5133333333333333
Alice-opinion,0.515
Default,0.5016666666666667
Alice-opinion,0.99
