template,accuracy
Default,0.61
Alice-opinion,0.515
Default,0.6483333333333333
Alice-opinion,0.53
Default,0.5383333333333333
Alice-opinion,0.51
Default,0.65
Alice-opinion,0.5216666666666666
Default,0.5033333333333333
Alice-opinion,0.5083333333333333
Default,0.5366666666666666
Alice-opinion,0.5083333333333333
Default,0.5733333333333333
Alice-opinion,0.5083333333333333
Default,0.6183333333333334
Alice-opinion,0.5266666666666666
Default,0.5683333333333334
Alice-opinion,0.5066666666666666
Default,0.6283333333333334
Alice-opinion,0.53
Default,0.6216666666666666
Alice-opinion,0.5166666666666666
Default,0.5033333333333333
Alice-opinion,0.515
Default,0.69
Alice-opinion,0.505
Default,0.5616666666666666
Alice-opinion,0.5266666666666666
Default,0.5449999999999999
Alice-opinion,0.5133333333333333
Default,0.63
Alice-opinion,0.5216666666666667
Default,0.6416666666666667
Alice-opinion,0.5033333333333333
Default,0.6583333333333333
Alice-opinion,0.5233333333333333
Default,0.6566666666666666
Alice-opinion,0.525
Default,0.625
Alice-opinion,0.5233333333333333
Default,0.5616666666666666
Alice-opinion,0.5233333333333333
Default,0.565
Alice-opinion,0.52
Default,0.5116666666666667
Alice-opinion,0.5133333333333333
Default,0.7216666666666667
Alice-opinion,0.5133333333333333
Default,0.5016666666666667
Alice-opinion,0.5066666666666667
Default,0.5766666666666667
Alice-opinion,0.505
Default,0.565
Alice-opinion,0.5166666666666666
Default,0.5383333333333333
Alice-opinion,0.51
Default,0.5933333333333334
Alice-opinion,0.5083333333333333
Default,0.6616666666666666
Alice-opinion,0.5133333333333333
Default,0.5700000000000001
Alice-opinion,0.5183333333333333
Default,0.63
Alice-opinion,0.525
Default,0.66
Alice-opinion,0.5183333333333333
Default,0.6566666666666667
Alice-opinion,0.5216666666666667
Default,0.605
Alice-opinion,0.5066666666666666
Default,0.595
Alice-opinion,0.5233333333333333
Default,0.59
Alice-opinion,0.515
Default,0.725
Alice-opinion,0.5033333333333334
Default,0.6166666666666667
Alice-opinion,0.5116666666666667
Default,0.675
Alice-opinion,0.53
Default,0.5716666666666667
Alice-opinion,0.5166666666666666
Default,0.5683333333333334
Alice-opinion,0.51
Default,0.6316666666666667
Alice-opinion,0.5266666666666666
Default,0.785
Alice-opinion,0.52
Default,0.5016666666666667
Alice-opinion,0.5133333333333333
Default,0.63
Alice-opinion,0.5283333333333333
Default,0.6933333333333334
Alice-opinion,0.5083333333333333
Default,0.62
Alice-opinion,0.5283333333333333
Default,0.7966666666666666
Alice-opinion,0.505
Default,0.6166666666666667
Alice-opinion,0.5216666666666667
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.51
Alice-opinion,0.505
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
Default,0.5066666666666667
Alice-opinion,0.505
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.5133333333333333
Alice-opinion,0.9783333333333333
Default,0.5133333333333333
Alice-opinion,0.9783333333333333
Default,0.5083333333333333
Alice-opinion,0.5066666666666666
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.5133333333333333
Alice-opinion,0.9783333333333333
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.5116666666666667
Alice-opinion,0.5066666666666666
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.51
Alice-opinion,0.505
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
Default,0.5133333333333333
Alice-opinion,0.9783333333333334
Default,0.515
Alice-opinion,0.9766666666666667
Default,0.5083333333333333
Alice-opinion,0.5066666666666666
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5083333333333333
Alice-opinion,0.5066666666666666
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.5066666666666666
Alice-opinion,0.505
Default,0.5116666666666667
Alice-opinion,0.98
Default,0.5133333333333333
Alice-opinion,0.9783333333333333
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
Default,0.5083333333333333
Alice-opinion,0.5066666666666667
