template,accuracy
Default,0.6616666666666666
Alice-opinion,0.5233333333333333
Default,0.6366666666666667
Alice-opinion,0.5216666666666666
Default,0.5583333333333333
Alice-opinion,0.5166666666666666
Default,0.6116666666666667
Alice-opinion,0.52
Default,0.6833333333333333
Alice-opinion,0.5216666666666666
Default,0.6633333333333333
Alice-opinion,0.5183333333333333
Default,0.6666666666666667
Alice-opinion,0.525
Default,0.6799999999999999
Alice-opinion,0.515
Default,0.5366666666666666
Alice-opinion,0.525
Default,0.64
Alice-opinion,0.5083333333333333
Default,0.6333333333333333
Alice-opinion,0.525
Default,0.66
Alice-opinion,0.525
Default,0.63
Alice-opinion,0.5216666666666666
Default,0.65
Alice-opinion,0.5083333333333333
Default,0.5716666666666667
Alice-opinion,0.5233333333333333
Default,0.6183333333333333
Alice-opinion,0.52
Default,0.5116666666666667
Alice-opinion,0.5266666666666666
Default,0.5966666666666667
Alice-opinion,0.515
Default,0.6366666666666667
Alice-opinion,0.5183333333333333
Default,0.685
Alice-opinion,0.5166666666666666
Default,0.65
Alice-opinion,0.5316666666666667
Default,0.6583333333333333
Alice-opinion,0.5166666666666666
Default,0.6566666666666666
Alice-opinion,0.5283333333333333
Default,0.6716666666666666
Alice-opinion,0.5166666666666666
Default,0.5916666666666667
Alice-opinion,0.5233333333333333
Default,0.6316666666666667
Alice-opinion,0.53
Default,0.64
Alice-opinion,0.5316666666666666
Default,0.6483333333333333
Alice-opinion,0.5066666666666666
Default,0.5016666666666667
Alice-opinion,0.53
Default,0.595
Alice-opinion,0.5133333333333333
Default,0.51
Alice-opinion,0.5183333333333333
Default,0.6183333333333334
Alice-opinion,0.5133333333333333
Default,0.5583333333333333
Alice-opinion,0.5233333333333333
Default,0.6566666666666666
Alice-opinion,0.5116666666666667
Default,0.7566666666666666
Alice-opinion,0.5083333333333333
Default,0.6466666666666666
Alice-opinion,0.525
Default,0.6066666666666667
Alice-opinion,0.5183333333333333
Default,0.5283333333333333
Alice-opinion,0.5133333333333333
Default,0.6616666666666666
Alice-opinion,0.53
Default,0.5366666666666666
Alice-opinion,0.5116666666666667
Default,0.655
Alice-opinion,0.52
Default,0.63
Alice-opinion,0.5316666666666667
Default,0.6433333333333333
Alice-opinion,0.5383333333333333
Default,0.6666666666666667
Alice-opinion,0.5116666666666667
Default,0.6133333333333333
Alice-opinion,0.5116666666666667
Default,0.52
Alice-opinion,0.5083333333333333
Default,0.6583333333333333
Alice-opinion,0.5266666666666666
Default,0.51
Alice-opinion,0.5216666666666667
Default,0.64
Alice-opinion,0.505
Default,0.6566666666666666
Alice-opinion,0.5383333333333333
Default,0.525
Alice-opinion,0.5066666666666667
Default,0.5366666666666666
Alice-opinion,0.5216666666666667
Default,0.5316666666666666
Alice-opinion,0.5566666666666666
Default,0.54
Alice-opinion,0.505
Default,0.5166666666666666
Alice-opinion,0.5116666666666667
Default,0.5233333333333333
Alice-opinion,0.5016666666666667
Default,0.5233333333333333
Alice-opinion,0.5183333333333333
Default,0.6433333333333333
Alice-opinion,0.505
Default,0.54
Alice-opinion,0.5383333333333333
Default,0.5383333333333333
Alice-opinion,0.5466666666666666
Default,0.5083333333333333
Alice-opinion,0.5433333333333333
Default,0.5016666666666667
Alice-opinion,0.5466666666666666
Default,0.7216666666666667
Alice-opinion,0.5733333333333333
Default,0.5716666666666667
Alice-opinion,0.5566666666666666
Default,0.5033333333333333
Alice-opinion,0.5316666666666666
Default,0.53
Alice-opinion,0.5216666666666667
Default,0.5133333333333333
Alice-opinion,0.5316666666666667
Default,0.525
Alice-opinion,0.56
Default,0.5583333333333333
Alice-opinion,0.5233333333333333
Default,0.5416666666666667
Alice-opinion,0.5566666666666666
Default,0.5316666666666667
Alice-opinion,0.5133333333333333
Default,0.5266666666666666
Alice-opinion,0.5283333333333333
Default,0.5666666666666667
Alice-opinion,0.5616666666666666
Default,0.51
Alice-opinion,0.5316666666666667
Default,0.5183333333333333
Alice-opinion,0.5166666666666667
Default,0.5433333333333333
Alice-opinion,0.5016666666666667
Default,0.575
Alice-opinion,0.56
Default,0.6233333333333333
Alice-opinion,0.525
Default,0.5266666666666666
Alice-opinion,0.5416666666666666
Default,0.5266666666666666
Alice-opinion,0.5016666666666667
Default,0.525
Alice-opinion,0.54
Default,0.5216666666666666
Alice-opinion,0.5066666666666667
Default,0.5666666666666667
Alice-opinion,0.5449999999999999
Default,0.5133333333333333
Alice-opinion,0.5349999999999999
Default,0.56
Alice-opinion,0.5016666666666667
Default,0.5333333333333333
Alice-opinion,0.5016666666666667
Default,0.5283333333333333
Alice-opinion,0.5133333333333333
Default,0.5516666666666667
Alice-opinion,0.5266666666666666
Default,0.52
Alice-opinion,0.5316666666666666
Default,0.5883333333333334
Alice-opinion,0.5933333333333334
Default,0.525
Alice-opinion,0.5700000000000001
Default,0.525
Alice-opinion,0.51
Default,0.625
Alice-opinion,0.5033333333333333
Default,0.5616666666666666
Alice-opinion,0.5533333333333333
Default,0.5133333333333333
Alice-opinion,0.5616666666666666
Default,0.5333333333333333
Alice-opinion,0.5116666666666667
Default,0.5983333333333334
Alice-opinion,0.5566666666666666
Default,0.5366666666666666
Alice-opinion,0.5216666666666666
Default,0.52
Alice-opinion,0.5183333333333333
Default,0.53
Alice-opinion,0.5583333333333333
