template,accuracy
Default,0.9283333333333333
Alice-opinion,0.505
Default,0.92
Alice-opinion,0.5066666666666666
Default,0.9016666666666666
Alice-opinion,0.505
Default,0.895
Alice-opinion,0.5083333333333333
Default,0.89
Alice-opinion,0.51
Default,0.8866666666666667
Alice-opinion,0.51
Default,0.94
Alice-opinion,0.5066666666666667
Default,0.9216666666666666
Alice-opinion,0.505
Default,0.9366666666666666
Alice-opinion,0.5066666666666667
Default,0.9183333333333333
Alice-opinion,0.505
Default,0.92
Alice-opinion,0.5033333333333333
Default,0.9366666666666666
Alice-opinion,0.51
Default,0.9316666666666666
Alice-opinion,0.505
Default,0.8866666666666667
Alice-opinion,0.51
Default,0.9333333333333333
Alice-opinion,0.51
Default,0.8916666666666666
Alice-opinion,0.5083333333333333
Default,0.905
Alice-opinion,0.5016666666666667
Default,0.89
Alice-opinion,0.5133333333333333
Default,0.935
Alice-opinion,0.5083333333333333
Default,0.9216666666666666
Alice-opinion,0.505
Default,0.92
Alice-opinion,0.5066666666666666
Default,0.9183333333333333
Alice-opinion,0.505
Default,0.9033333333333333
Alice-opinion,0.5
Default,0.9183333333333333
Alice-opinion,0.505
Default,0.92
Alice-opinion,0.5033333333333334
Default,0.9216666666666666
Alice-opinion,0.505
Default,0.935
Alice-opinion,0.5083333333333333
Default,0.9266666666666666
Alice-opinion,0.5066666666666666
Default,0.9233333333333333
Alice-opinion,0.5033333333333334
Default,0.9233333333333333
Alice-opinion,0.5033333333333334
Default,0.9216666666666666
Alice-opinion,0.505
Default,0.92
Alice-opinion,0.5066666666666667
Default,0.9183333333333333
Alice-opinion,0.505
Default,0.92
Alice-opinion,0.5033333333333333
Default,0.94
Alice-opinion,0.5066666666666666
Default,0.9383333333333334
Alice-opinion,0.5016666666666667
Default,0.92
Alice-opinion,0.5
Default,0.925
Alice-opinion,0.5083333333333333
Default,0.89
Alice-opinion,0.5066666666666667
Default,0.9183333333333333
Alice-opinion,0.505
Default,0.93
Alice-opinion,0.5033333333333334
Default,0.9333333333333333
Alice-opinion,0.51
Default,0.9016666666666666
Alice-opinion,0.5083333333333333
Default,0.9216666666666666
Alice-opinion,0.505
Default,0.905
Alice-opinion,0.505
Default,0.9583333333333334
Alice-opinion,0.5083333333333333
Default,0.9183333333333333
Alice-opinion,0.505
Default,0.9216666666666666
Alice-opinion,0.505
Default,0.9333333333333333
Alice-opinion,0.51
Default,0.8566666666666667
Alice-opinion,0.52
Default,0.8966666666666667
Alice-opinion,0.5233333333333333
Default,0.8883333333333333
Alice-opinion,0.5216666666666667
Default,0.9
Alice-opinion,0.5266666666666666
Default,0.89
Alice-opinion,0.51
Default,0.895
Alice-opinion,0.5283333333333333
Default,0.8883333333333333
Alice-opinion,0.5316666666666667
Default,0.8966666666666666
Alice-opinion,0.53
Default,0.905
Alice-opinion,0.5283333333333333
Default,0.8883333333333333
Alice-opinion,0.5083333333333333
Default,0.8983333333333333
Alice-opinion,0.525
Default,0.8883333333333333
Alice-opinion,0.505
Default,0.8966666666666666
Alice-opinion,0.5266666666666666
Default,0.905
Alice-opinion,0.5283333333333333
Default,0.5033333333333334
Alice-opinion,0.7666666666666667
Default,0.8966666666666667
Alice-opinion,0.5266666666666666
Default,0.6116666666666667
Alice-opinion,0.7416666666666667
Default,0.885
Alice-opinion,0.5316666666666666
Default,0.8983333333333333
Alice-opinion,0.525
Default,0.915
Alice-opinion,0.5283333333333333
Default,0.8983333333333333
Alice-opinion,0.515
Default,0.915
Alice-opinion,0.5283333333333333
Default,0.8983333333333333
Alice-opinion,0.525
Default,0.8983333333333333
Alice-opinion,0.5283333333333333
Default,0.885
Alice-opinion,0.5083333333333333
Default,0.8933333333333333
Alice-opinion,0.5033333333333333
Default,0.885
Alice-opinion,0.5283333333333333
Default,0.8833333333333333
Alice-opinion,0.51
Default,0.8983333333333333
Alice-opinion,0.525
Default,0.91
Alice-opinion,0.53
Default,0.91
Alice-opinion,0.5266666666666666
Default,0.62
Alice-opinion,0.72
Default,0.8816666666666667
Alice-opinion,0.505
Default,0.8933333333333333
Alice-opinion,0.5266666666666666
Default,0.915
Alice-opinion,0.5283333333333333
Default,0.9083333333333333
Alice-opinion,0.5283333333333333
Default,0.895
Alice-opinion,0.5316666666666666
Default,0.9083333333333333
Alice-opinion,0.5316666666666667
Default,0.8966666666666666
Alice-opinion,0.5266666666666666
Default,0.8966666666666666
Alice-opinion,0.5266666666666666
Default,0.8983333333333333
Alice-opinion,0.525
Default,0.9183333333333333
Alice-opinion,0.525
Default,0.9
Alice-opinion,0.5266666666666666
Default,0.8866666666666667
Alice-opinion,0.5266666666666666
Default,0.8983333333333333
Alice-opinion,0.515
Default,0.5083333333333333
Alice-opinion,0.775
Default,0.9016666666666666
Alice-opinion,0.525
Default,0.8983333333333333
Alice-opinion,0.515
Default,0.8933333333333333
Alice-opinion,0.53
Default,0.8866666666666667
Alice-opinion,0.53
Default,0.885
Alice-opinion,0.535
