template,accuracy
Default,0.5283333333333333
Alice-opinion,0.5116666666666667
Default,0.9016666666666666
Alice-opinion,0.5083333333333333
Default,0.9033333333333333
Alice-opinion,0.5066666666666666
Default,0.905
Alice-opinion,0.505
Default,0.9033333333333333
Alice-opinion,0.5033333333333333
Default,0.865
Alice-opinion,0.5183333333333333
Default,0.8916666666666667
Alice-opinion,0.5083333333333333
Default,0.53
Alice-opinion,0.51
Default,0.525
Alice-opinion,0.515
Default,0.8966666666666667
Alice-opinion,0.5133333333333333
Default,0.5316666666666667
Alice-opinion,0.5116666666666667
Default,0.9
Alice-opinion,0.5066666666666666
Default,0.9066666666666666
Alice-opinion,0.5
Default,0.9
Alice-opinion,0.5066666666666666
Default,0.5283333333333333
Alice-opinion,0.5116666666666667
Default,0.9066666666666666
Alice-opinion,0.5
Default,0.9066666666666666
Alice-opinion,0.5033333333333334
Default,0.9033333333333333
Alice-opinion,0.5066666666666666
Default,0.5283333333333333
Alice-opinion,0.5116666666666667
Default,0.9033333333333333
Alice-opinion,0.5066666666666666
Default,0.53
Alice-opinion,0.5166666666666667
Default,0.8666666666666667
Alice-opinion,0.5166666666666666
Default,0.9016666666666666
Alice-opinion,0.505
Default,0.5316666666666667
Alice-opinion,0.5116666666666667
Default,0.9033333333333333
Alice-opinion,0.5066666666666666
Default,0.8866666666666667
Alice-opinion,0.5133333333333333
Default,0.9083333333333333
Alice-opinion,0.505
Default,0.885
Alice-opinion,0.5116666666666667
Default,0.525
Alice-opinion,0.515
Default,0.8966666666666667
Alice-opinion,0.51
Default,0.905
Alice-opinion,0.505
Default,0.905
Alice-opinion,0.505
Default,0.53
Alice-opinion,0.51
Default,0.5316666666666667
Alice-opinion,0.5116666666666667
Default,0.9
Alice-opinion,0.5066666666666667
Default,0.9033333333333333
Alice-opinion,0.5033333333333334
Default,0.8883333333333333
Alice-opinion,0.5116666666666667
Default,0.53
Alice-opinion,0.51
Default,0.9016666666666666
Alice-opinion,0.505
Default,0.53
Alice-opinion,0.51
Default,0.525
Alice-opinion,0.515
Default,0.9033333333333333
Alice-opinion,0.5033333333333334
Default,0.8833333333333333
Alice-opinion,0.52
Default,0.5283333333333333
Alice-opinion,0.5116666666666667
Default,0.9016666666666666
Alice-opinion,0.5016666666666667
Default,0.5266666666666666
Alice-opinion,0.5066666666666666
Default,0.525
Alice-opinion,0.515
Default,0.5283333333333333
Alice-opinion,0.5116666666666667
Default,0.5316666666666667
Alice-opinion,0.5116666666666667
Default,0.9
Alice-opinion,0.51
Default,0.8616666666666667
Alice-opinion,0.5116666666666667
Default,0.5133333333333333
Alice-opinion,0.99
Default,0.5283333333333333
Alice-opinion,0.5349999999999999
Default,0.5116666666666667
Alice-opinion,0.5116666666666667
Default,0.53
Alice-opinion,0.5366666666666666
Default,0.515
Alice-opinion,0.9916666666666667
Default,0.5366666666666666
Alice-opinion,0.5333333333333333
Default,0.5333333333333333
Alice-opinion,0.5333333333333333
Default,0.875
Alice-opinion,0.5116666666666667
Default,0.515
Alice-opinion,0.9916666666666667
Default,0.5316666666666666
Alice-opinion,0.535
Default,0.5366666666666666
Alice-opinion,0.5333333333333333
Default,0.5116666666666667
Alice-opinion,0.9916666666666667
Default,0.8383333333333334
Alice-opinion,0.5383333333333333
Default,0.5316666666666667
Alice-opinion,0.5216666666666667
Default,0.5366666666666666
Alice-opinion,0.5333333333333333
Default,0.8583333333333334
Alice-opinion,0.5116666666666667
Default,0.5283333333333333
Alice-opinion,0.5349999999999999
Default,0.5283333333333333
Alice-opinion,0.5349999999999999
Default,0.5483333333333333
Alice-opinion,0.525
Default,0.8716666666666667
Alice-opinion,0.5116666666666667
Default,0.525
Alice-opinion,0.535
Default,0.875
Alice-opinion,0.5116666666666667
Default,0.5283333333333333
Alice-opinion,0.5349999999999999
Default,0.5466666666666666
Alice-opinion,0.5266666666666666
Default,0.53
Alice-opinion,0.5333333333333333
Default,0.54
Alice-opinion,0.53
Default,0.8666666666666667
Alice-opinion,0.5133333333333333
Default,0.53
Alice-opinion,0.5333333333333333
Default,0.53
Alice-opinion,0.5366666666666666
Default,0.5416666666666666
Alice-opinion,0.5283333333333333
Default,0.5316666666666666
Alice-opinion,0.5383333333333333
Default,0.5283333333333333
Alice-opinion,0.5349999999999999
Default,0.8716666666666667
Alice-opinion,0.515
Default,0.5483333333333333
Alice-opinion,0.525
Default,0.53
Alice-opinion,0.5333333333333333
Default,0.5333333333333333
Alice-opinion,0.5366666666666666
Default,0.5283333333333333
Alice-opinion,0.535
Default,0.5316666666666666
Alice-opinion,0.535
Default,0.5133333333333333
Alice-opinion,0.99
Default,0.86
Alice-opinion,0.51
Default,0.54
Alice-opinion,0.5366666666666666
Default,0.5316666666666667
Alice-opinion,0.5349999999999999
Default,0.51
Alice-opinion,0.52
Default,0.5133333333333333
Alice-opinion,0.99
Default,0.5266666666666666
Alice-opinion,0.5266666666666666
Default,0.5283333333333333
Alice-opinion,0.5349999999999999
Default,0.5116666666666667
Alice-opinion,0.5116666666666667
Default,0.5133333333333333
Alice-opinion,0.99
Default,0.545
Alice-opinion,0.525
