template,accuracy
Default,0.5183333333333333
Alice-opinion,0.5216666666666667
Default,0.52
Alice-opinion,0.52
Default,0.515
Alice-opinion,0.515
Default,0.5166666666666666
Alice-opinion,0.51
Default,0.6616666666666666
Alice-opinion,0.525
Default,0.5816666666666667
Alice-opinion,0.5016666666666667
Default,0.5116666666666667
Alice-opinion,0.5183333333333333
Default,0.7633333333333333
Alice-opinion,0.5266666666666666
Default,0.5416666666666666
Alice-opinion,0.5183333333333333
Default,0.5616666666666666
Alice-opinion,0.5016666666666667
Default,0.54
Alice-opinion,0.51
Default,0.8166666666666667
Alice-opinion,0.5066666666666667
Default,0.6133333333333333
Alice-opinion,0.51
Default,0.5566666666666666
Alice-opinion,0.5166666666666667
Default,0.5066666666666667
Alice-opinion,0.52
Default,0.525
Alice-opinion,0.5183333333333333
Default,0.5583333333333333
Alice-opinion,0.525
Default,0.5216666666666667
Alice-opinion,0.515
Default,0.5816666666666667
Alice-opinion,0.5016666666666667
Default,0.5866666666666667
Alice-opinion,0.5066666666666667
Default,0.5283333333333333
Alice-opinion,0.5183333333333333
Default,0.62
Alice-opinion,0.5266666666666666
Default,0.5466666666666666
Alice-opinion,0.5066666666666667
Default,0.6483333333333333
Alice-opinion,0.525
Default,0.615
Alice-opinion,0.505
Default,0.515
Alice-opinion,0.5183333333333333
Default,0.6016666666666667
Alice-opinion,0.5016666666666667
Default,0.5900000000000001
Alice-opinion,0.5066666666666666
Default,0.6933333333333334
Alice-opinion,0.5166666666666666
Default,0.5616666666666666
Alice-opinion,0.5016666666666667
Default,0.7666666666666667
Alice-opinion,0.5233333333333333
Default,0.775
Alice-opinion,0.5016666666666667
Default,0.6083333333333334
Alice-opinion,0.5116666666666667
Default,0.53
Alice-opinion,0.5166666666666667
Default,0.5583333333333333
Alice-opinion,0.5216666666666667
Default,0.6383333333333333
Alice-opinion,0.5116666666666667
Default,0.5566666666666666
Alice-opinion,0.52
Default,0.57
Alice-opinion,0.5233333333333333
Default,0.53
Alice-opinion,0.52
Default,0.5616666666666666
Alice-opinion,0.5016666666666667
Default,0.5433333333333333
Alice-opinion,0.51
Default,0.8066666666666666
Alice-opinion,0.51
Default,0.73
Alice-opinion,0.5133333333333333
Default,0.5066666666666666
Alice-opinion,0.51
Default,0.8116666666666666
Alice-opinion,0.5016666666666667
Default,0.5566666666666666
Alice-opinion,0.5233333333333333
Default,0.585
Alice-opinion,0.525
Default,0.5166666666666666
Alice-opinion,0.52
Default,0.5
Alice-opinion,0.52
Default,0.5716666666666667
Alice-opinion,0.525
Default,0.535
Alice-opinion,0.705
Default,0.505
Alice-opinion,0.5316666666666667
Default,0.5566666666666666
Alice-opinion,0.5433333333333333
Default,0.5383333333333333
Alice-opinion,0.6783333333333333
Default,0.5416666666666667
Alice-opinion,0.675
Default,0.5349999999999999
Alice-opinion,0.5016666666666667
Default,0.53
Alice-opinion,0.5633333333333334
Default,0.5433333333333333
Alice-opinion,0.7166666666666667
Default,0.5116666666666667
Alice-opinion,0.7083333333333334
Default,0.5016666666666667
Alice-opinion,0.7216666666666667
Default,0.5349999999999999
Alice-opinion,0.635
Default,0.5033333333333334
Alice-opinion,0.5133333333333333
Default,0.5033333333333334
Alice-opinion,0.51
Default,0.53
Alice-opinion,0.5933333333333333
Default,0.5633333333333334
Alice-opinion,0.5666666666666667
Default,0.5333333333333333
Alice-opinion,0.6433333333333333
Default,0.5683333333333334
Alice-opinion,0.7083333333333334
Default,0.575
Alice-opinion,0.6883333333333334
Default,0.54
Alice-opinion,0.6733333333333333
Default,0.5766666666666667
Alice-opinion,0.5233333333333333
Default,0.5166666666666667
Alice-opinion,0.5333333333333333
Default,0.525
Alice-opinion,0.5716666666666667
Default,0.5549999999999999
Alice-opinion,0.6783333333333333
Default,0.5766666666666667
Alice-opinion,0.76
Default,0.5033333333333334
Alice-opinion,0.6733333333333333
Default,0.5583333333333333
Alice-opinion,0.5316666666666666
Default,0.575
Alice-opinion,0.7083333333333333
Default,0.5349999999999999
Alice-opinion,0.675
Default,0.525
Alice-opinion,0.615
Default,0.5066666666666666
Alice-opinion,0.5133333333333333
Default,0.5666666666666667
Alice-opinion,0.6533333333333333
Default,0.5133333333333333
Alice-opinion,0.5066666666666666
Default,0.5266666666666666
Alice-opinion,0.65
Default,0.5733333333333334
Alice-opinion,0.6733333333333333
Default,0.5449999999999999
Alice-opinion,0.7416666666666667
Default,0.575
Alice-opinion,0.665
Default,0.52
Alice-opinion,0.7133333333333334
Default,0.5283333333333333
Alice-opinion,0.635
Default,0.6333333333333333
Alice-opinion,0.66
Default,0.525
Alice-opinion,0.635
Default,0.6183333333333334
Alice-opinion,0.7183333333333333
Default,0.595
Alice-opinion,0.6916666666666667
Default,0.5216666666666666
Alice-opinion,0.605
Default,0.5033333333333333
Alice-opinion,0.6166666666666667
Default,0.595
Alice-opinion,0.775
Default,0.5483333333333333
Alice-opinion,0.655
Default,0.5016666666666667
Alice-opinion,0.5516666666666666
Default,0.51
Alice-opinion,0.6733333333333333
Default,0.5266666666666666
Alice-opinion,0.6933333333333334
Default,0.67
Alice-opinion,0.59
