template,accuracy
Default,0.9216666666666666
Alice-opinion,0.5133333333333333
Default,0.9333333333333333
Alice-opinion,0.5183333333333333
Default,0.9233333333333333
Alice-opinion,0.5083333333333333
Default,0.9283333333333333
Alice-opinion,0.52
Default,0.9166666666666666
Alice-opinion,0.5116666666666667
Default,0.9233333333333333
Alice-opinion,0.515
Default,0.9216666666666666
Alice-opinion,0.5066666666666667
Default,0.9299999999999999
Alice-opinion,0.5183333333333333
Default,0.92
Alice-opinion,0.5116666666666667
Default,0.925
Alice-opinion,0.5133333333333333
Default,0.9116666666666666
Alice-opinion,0.5033333333333333
Default,0.5383333333333333
Alice-opinion,0.5166666666666666
Default,0.9316666666666666
Alice-opinion,0.5166666666666667
Default,0.925
Alice-opinion,0.5166666666666666
Default,0.9283333333333333
Alice-opinion,0.52
Default,0.9299999999999999
Alice-opinion,0.5183333333333333
Default,0.9316666666666666
Alice-opinion,0.5233333333333333
Default,0.9133333333333333
Alice-opinion,0.505
Default,0.84
Alice-opinion,0.5116666666666667
Default,0.9333333333333333
Alice-opinion,0.5183333333333333
Default,0.9266666666666666
Alice-opinion,0.5183333333333333
Default,0.925
Alice-opinion,0.52
Default,0.9233333333333333
Alice-opinion,0.515
Default,0.9233333333333333
Alice-opinion,0.515
Default,0.94
Alice-opinion,0.5216666666666667
Default,0.925
Alice-opinion,0.51
Default,0.935
Alice-opinion,0.52
Default,0.9266666666666666
Alice-opinion,0.5116666666666667
Default,0.9366666666666666
Alice-opinion,0.5183333333333333
Default,0.9283333333333333
Alice-opinion,0.52
Default,0.925
Alice-opinion,0.5133333333333333
Default,0.935
Alice-opinion,0.5166666666666667
Default,0.9283333333333333
Alice-opinion,0.52
Default,0.9316666666666666
Alice-opinion,0.5166666666666667
Default,0.9216666666666666
Alice-opinion,0.5166666666666667
Default,0.9316666666666666
Alice-opinion,0.52
Default,0.93
Alice-opinion,0.515
Default,0.9333333333333333
Alice-opinion,0.515
Default,0.9183333333333333
Alice-opinion,0.51
Default,0.8366666666666667
Alice-opinion,0.515
Default,0.9299999999999999
Alice-opinion,0.5216666666666666
Default,0.93
Alice-opinion,0.5216666666666667
Default,0.9266666666666666
Alice-opinion,0.5183333333333333
Default,0.9299999999999999
Alice-opinion,0.5183333333333333
Default,0.9283333333333333
Alice-opinion,0.52
Default,0.9266666666666666
Alice-opinion,0.5183333333333333
Default,0.935
Alice-opinion,0.5233333333333333
Default,0.5866666666666667
Alice-opinion,0.5016666666666667
Default,0.9283333333333333
Alice-opinion,0.52
Default,0.9299999999999999
Alice-opinion,0.5183333333333333
Default,0.925
Alice-opinion,0.52
Default,0.9133333333333333
Alice-opinion,0.5016666666666667
Default,0.92
Alice-opinion,0.5183333333333333
Default,0.5433333333333333
Alice-opinion,0.5349999999999999
Default,0.525
Alice-opinion,0.5533333333333333
Default,0.5283333333333333
Alice-opinion,0.5333333333333333
Default,0.92
Alice-opinion,0.515
Default,0.5566666666666666
Alice-opinion,0.5416666666666666
Default,0.9133333333333333
Alice-opinion,0.5183333333333333
Default,0.9116666666666666
Alice-opinion,0.5
Default,0.915
Alice-opinion,0.5233333333333333
Default,0.9233333333333333
Alice-opinion,0.515
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.9133333333333333
Alice-opinion,0.505
Default,0.5483333333333333
Alice-opinion,0.9066666666666666
Default,0.9183333333333333
Alice-opinion,0.5166666666666667
Default,0.9166666666666666
Alice-opinion,0.515
Default,0.525
Alice-opinion,0.9233333333333333
Default,0.915
Alice-opinion,0.5166666666666667
Default,0.56
Alice-opinion,0.5616666666666666
Default,0.515
Alice-opinion,0.9533333333333334
Default,0.92
Alice-opinion,0.515
Default,0.93
Alice-opinion,0.5216666666666667
Default,0.55
Alice-opinion,0.5916666666666667
Default,0.5316666666666666
Alice-opinion,0.54
Default,0.9233333333333333
Alice-opinion,0.515
Default,0.5083333333333333
Alice-opinion,0.5366666666666666
Default,0.915
Alice-opinion,0.51
Default,0.5266666666666666
Alice-opinion,0.5316666666666666
Default,0.915
Alice-opinion,0.5133333333333333
Default,0.5449999999999999
Alice-opinion,0.5333333333333333
Default,0.9216666666666666
Alice-opinion,0.5233333333333333
Default,0.56
Alice-opinion,0.5549999999999999
Default,0.9233333333333333
Alice-opinion,0.5183333333333333
Default,0.9166666666666666
Alice-opinion,0.5116666666666667
Default,0.56
Alice-opinion,0.665
Default,0.5166666666666667
Alice-opinion,0.7683333333333333
Default,0.9216666666666666
Alice-opinion,0.52
Default,0.9183333333333333
Alice-opinion,0.5166666666666667
Default,0.9166666666666666
Alice-opinion,0.5183333333333333
Default,0.5549999999999999
Alice-opinion,0.7333333333333334
Default,0.9183333333333333
Alice-opinion,0.5233333333333333
Default,0.5183333333333333
Alice-opinion,0.9166666666666666
Default,0.525
Alice-opinion,0.55
Default,0.9183333333333333
Alice-opinion,0.5166666666666667
Default,0.9216666666666666
Alice-opinion,0.5166666666666667
Default,0.9216666666666666
Alice-opinion,0.5233333333333333
Default,0.9166666666666666
Alice-opinion,0.515
Default,0.9183333333333333
Alice-opinion,0.5133333333333333
Default,0.92
Alice-opinion,0.515
