template,accuracy
Default,0.7216666666666667
Alice-opinion,0.5266666666666666
Default,0.6983333333333334
Alice-opinion,0.5333333333333333
Default,0.6699999999999999
Alice-opinion,0.5216666666666666
Default,0.7483333333333333
Alice-opinion,0.5366666666666666
Default,0.5033333333333334
Alice-opinion,0.5016666666666667
Default,0.7433333333333334
Alice-opinion,0.5316666666666666
Default,0.6066666666666667
Alice-opinion,0.5116666666666667
Default,0.5516666666666666
Alice-opinion,0.5133333333333333
Default,0.5066666666666666
Alice-opinion,0.5116666666666667
Default,0.5483333333333333
Alice-opinion,0.5066666666666666
Default,0.5316666666666666
Alice-opinion,0.5033333333333333
Default,0.6599999999999999
Alice-opinion,0.5216666666666666
Default,0.6833333333333333
Alice-opinion,0.5283333333333333
Default,0.505
Alice-opinion,0.51
Default,0.5166666666666666
Alice-opinion,0.5283333333333333
Default,0.75
Alice-opinion,0.5216666666666666
Default,0.5616666666666666
Alice-opinion,0.5133333333333333
Default,0.5449999999999999
Alice-opinion,0.5166666666666666
Default,0.5349999999999999
Alice-opinion,0.52
Default,0.5733333333333333
Alice-opinion,0.5216666666666666
Default,0.54
Alice-opinion,0.515
Default,0.645
Alice-opinion,0.5266666666666666
Default,0.6383333333333333
Alice-opinion,0.5066666666666667
Default,0.7383333333333333
Alice-opinion,0.5233333333333333
Default,0.6466666666666667
Alice-opinion,0.5016666666666667
Default,0.5583333333333333
Alice-opinion,0.51
Default,0.5349999999999999
Alice-opinion,0.5033333333333333
Default,0.7366666666666667
Alice-opinion,0.5216666666666666
Default,0.6183333333333334
Alice-opinion,0.5233333333333333
Default,0.5283333333333333
Alice-opinion,0.5133333333333333
Default,0.5016666666666667
Alice-opinion,0.5233333333333333
Default,0.5683333333333334
Alice-opinion,0.5166666666666667
Default,0.5800000000000001
Alice-opinion,0.5016666666666667
Default,0.755
Alice-opinion,0.5333333333333333
Default,0.5116666666666667
Alice-opinion,0.5133333333333333
Default,0.5633333333333334
Alice-opinion,0.5116666666666667
Default,0.5683333333333334
Alice-opinion,0.5133333333333333
Default,0.5733333333333334
Alice-opinion,0.5083333333333333
Default,0.7133333333333334
Alice-opinion,0.5116666666666667
Default,0.5616666666666666
Alice-opinion,0.51
Default,0.5549999999999999
Alice-opinion,0.53
Default,0.5083333333333333
Alice-opinion,0.51
Default,0.5166666666666666
Alice-opinion,0.515
Default,0.7033333333333334
Alice-opinion,0.505
Default,0.595
Alice-opinion,0.5066666666666667
Default,0.5616666666666666
Alice-opinion,0.5033333333333333
Default,0.5433333333333333
Alice-opinion,0.5183333333333333
Default,0.645
Alice-opinion,0.5066666666666667
Default,0.69
Alice-opinion,0.5349999999999999
Default,0.5283333333333333
Alice-opinion,0.5
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.5133333333333333
Alice-opinion,0.9983333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.51
Alice-opinion,0.9883333333333333
Default,0.5016666666666667
Alice-opinion,0.5133333333333333
Default,0.5
Alice-opinion,0.985
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.51
Alice-opinion,0.505
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.5066666666666666
Alice-opinion,0.5116666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.765
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.5483333333333333
Alice-opinion,0.51
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.51
Alice-opinion,0.505
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
Default,0.505
Alice-opinion,0.7266666666666667
Default,0.52
Alice-opinion,0.7683333333333333
